Model,Feature_Selection,Dimensionality_Reduction_Technique,CV MSE Mean,CV MSE SD,CV MAE Mean,CV MAE SD,Final MSE,Final MAE
SLP,MIT2,KPCA1-3,1561.6857142857145,1503.149261126283,23.0,17.622342034346918,2975.777777777778,41.111111111111114
SLP,MIT2,KPCA1-4,1850.1428571428569,921.7492509531284,25.457142857142863,11.634010661918472,813.7777777777778,15.11111111111111
SLP,MIT2,KPCA1-5,703.1714285714286,1038.359649855954,12.657142857142857,12.677989926302535,781.1111111111111,13.777777777777779
SLP,MIT2,KPCA1-6,1102.4571428571428,749.6572844184418,16.74285714285714,9.995264184725134,781.1111111111111,13.777777777777779
SLP,MIT2,KPCA1-R,1528.3142857142855,1521.299794415879,22.371428571428574,17.916723461387598,747.7777777777778,10.444444444444445
SLP,MIT2,KPCA1-S,1500.5142857142855,1504.4207715792757,22.0,17.84834068775365,730.0,9.333333333333334
SLP,MIT2,KPCA1-C,1236.3714285714286,549.4624207684587,21.628571428571426,7.863426059152277,747.7777777777778,10.444444444444445
SLP,MIT2,LPCA1,1755.1142857142854,1365.7795812245092,25.97142857142857,15.967927037582275,813.7777777777778,15.11111111111111
SLP,MIT2,SPCA1,924.7428571428572,781.3869270700134,13.828571428571427,9.65333821926437,730.0,9.333333333333334
SLP,MIT2,TSVD1,1113.6857142857143,854.1372083056942,17.45714285714286,9.742982822817368,2622.0,39.111111111111114
SLP,MIT3,DL1,3228.371428571428,1428.4230968706258,45.857142857142854,15.815518083354018,3049.777777777778,41.111111111111114
SLP,MIT3,DL2,3629.942857142857,1856.9104878803394,50.17142857142857,21.22982115144753,3049.777777777778,41.111111111111114
SLP,MIT3,FA1,932.7142857142857,614.0432943587438,18.42857142857143,9.940640146922746,730.0,9.333333333333334
SLP,MIT3,FA2,872.0571428571427,811.8775146384521,15.6,11.3811157589389,813.7777777777778,15.11111111111111
SLP,MIT3,ICA1,672.2285714285714,676.8165735897093,12.4,7.711851467788036,804.1111111111111,14.777777777777779
SLP,MIT3,ICA2,533.8285714285714,727.0206038121252,10.4,9.120687406961725,33.77777777777778,3.5555555555555554
SLP,MIT3,IPCA1,1778.8857142857141,1346.2532872640973,27.457142857142856,14.880860190190619,813.7777777777778,15.11111111111111
SLP,MIT3,IPCA2,781.9142857142857,707.1616193759156,15.228571428571428,9.275202841722765,813.7777777777778,15.11111111111111
SLP,MIT3,KPCA1-2,2541.4571428571426,1323.6519623945792,35.0,16.32726528959258,758.8888888888889,11.555555555555555
SLP,MIT3,KPCA2-2,811.9714285714285,770.6255736048976,13.4,10.104918988052406,736.0,10.666666666666666
SLP,MIT3,KPCA1-3,1925.485714285714,1611.400903004613,28.628571428571426,19.687476595386155,730.0,9.333333333333334
SLP,MIT3,KPCA2-3,401.34285714285716,481.14522055748,10.085714285714285,8.907964791954102,1765.0,28.333333333333332
SLP,MIT3,KPCA1-4,2166.9142857142856,1668.6409344623141,30.4,20.49776493540061,3081.0,38.55555555555556
SLP,MIT3,KPCA2-4,674.8571428571429,684.5153148955329,12.457142857142859,8.495569073202278,37.0,2.3333333333333335
SLP,MIT3,KPCA1-5,1509.7714285714287,1014.3394979704069,22.000000000000004,12.971554436142029,3122.0,42.22222222222222
SLP,MIT3,KPCA2-5,1186.7714285714287,606.6856873746949,18.82857142857143,7.305798647482082,37.0,2.3333333333333335
SLP,MIT3,KPCA1-6,901.9428571428573,850.0635683312642,14.457142857142859,10.382638569914171,770.0,12.666666666666666
SLP,MIT3,KPCA2-6,524.9142857142857,726.9889289783874,9.771428571428572,9.051598122510113,1.4444444444444444,0.5555555555555556
SLP,MIT3,KPCA1-R,1181.4571428571428,699.3110393779855,18.942857142857143,9.336607783234722,735.0,10.333333333333334
SLP,MIT3,KPCA2-R,894.8857142857144,634.0462314953614,15.4,8.733421612473801,2585.8888888888887,35.22222222222222
SLP,MIT3,KPCA1-S,2009.7142857142858,1442.6917670430776,28.571428571428573,17.071040043397044,730.0,9.333333333333334
SLP,MIT3,KPCA2-S,2314.5142857142855,1376.4454031145228,31.542857142857144,16.645989895222115,730.0,9.333333333333334
SLP,MIT3,KPCA1-C,947.8,337.95310144383967,17.34285714285714,6.436249383177207,730.0,9.333333333333334
SLP,MIT3,KPCA2-C,710.8,456.73720930897116,13.2,7.269505780017944,730.0,9.333333333333334
SLP,MIT3,LPCA1,1778.8857142857141,1346.2532872640973,27.457142857142856,14.880860190190619,813.7777777777778,15.11111111111111
SLP,MIT3,LPCA2,536.1714285714286,704.5017425855825,10.571428571428571,7.637180802642091,736.0,10.666666666666666
SLP,MIT3,SPCA1,924.7428571428572,781.3869270700134,13.828571428571427,9.65333821926437,730.0,9.333333333333334
SLP,MIT3,SPCA2,546.5714285714286,785.1249374124725,9.771428571428572,10.433306165881476,730.0,9.333333333333334
SLP,MIT3,TSVD1,1099.0285714285715,1285.3057712911295,18.628571428571426,14.369355147220029,781.1111111111111,13.777777777777779
SLP,MIT3,TSVD2,424.97142857142853,749.7378066867844,8.742857142857142,9.32602240387353,813.7777777777778,15.11111111111111
SLP,PCR2,DL1,2276.1714285714284,1472.9629542150053,33.25714285714285,17.13366420178684,3049.777777777778,41.111111111111114
SLP,PCR2,FA1,771.2,885.0521423587865,12.914285714285715,11.0791585917903,730.0,9.333333333333334
SLP,PCR2,ICA1,1096.5714285714287,1015.2743310785213,16.285714285714285,12.519698764062062,1852.111111111111,34.77777777777778
SLP,PCR2,ICA2,577.5714285714286,736.784613945581,11.114285714285714,9.273794547331878,730.0,9.333333333333334
SLP,PCR2,IPCA1,790.9428571428571,916.7288010605305,12.771428571428572,11.347066509338303,781.1111111111111,13.777777777777779
SLP,PCR2,IPCA2,1067.7428571428572,846.318372091009,15.914285714285715,10.49337983721943,3791.777777777778,46.22222222222222
SLP,PCR2,KPCA1-2,1197.942857142857,680.1023368372062,19.142857142857146,10.090609900460194,813.7777777777778,15.11111111111111
SLP,PCR2,KPCA1-3,1412.2857142857144,941.1873135479852,20.514285714285716,11.886057687346918,781.1111111111111,13.777777777777779
SLP,PCR2,KPCA1-4,737.8285714285714,847.9873959402164,12.285714285714286,10.151907431108496,747.7777777777778,10.444444444444445
SLP,PCR2,KPCA1-5,735.0571428571428,854.457525006841,12.257142857142858,10.91877245100083,2735.6666666666665,40.111111111111114
SLP,PCR2,KPCA1-6,735.3714285714284,705.3594978622531,12.742857142857142,8.955855455442293,3114.3333333333335,42.111111111111114
SLP,PCR2,KPCA1-R,870.5142857142857,820.0607075586738,13.828571428571427,10.07619947789678,730.0,9.333333333333334
SLP,PCR2,KPCA1-S,2197.0285714285715,1409.4236031304515,30.914285714285718,16.799805635415996,730.0,9.333333333333334
SLP,PCR2,KPCA1-C,1697.7142857142856,266.75873070653796,25.88571428571429,3.1524528836563874,3049.777777777778,41.111111111111114
SLP,PCR2,LPCA1,610.0,751.8620314164788,10.228571428571428,9.228438742964762,730.0,9.333333333333334
SLP,PCR2,SPCA1,924.7428571428572,781.3869270700134,13.828571428571427,9.65333821926437,730.0,9.333333333333334
SLP,PCR2,TSVD1,1283.314285714286,995.6607134594248,21.771428571428572,11.760397050079144,813.7777777777778,15.11111111111111
SLP,PCR3,DL1,3329.4571428571426,1377.9385976071321,46.94285714285714,15.679858391697083,3049.777777777778,41.111111111111114
SLP,PCR3,DL2,2721.2,1102.7551862568257,38.857142857142854,10.94438631613188,3049.777777777778,41.111111111111114
SLP,PCR3,FA1,930.0571428571429,972.5858761726969,15.371428571428572,11.291535569186507,1801.0,30.333333333333332
SLP,PCR3,FA2,1248.257142857143,1421.4344189398748,19.342857142857145,16.969985508634515,730.0,9.333333333333334
